artist,company,debut_year,year_last_release,music_show_awards,organic_views,eoy_awards,paks,physical_sales,streaming_score,releases,youtube_followers,gender
Aespa,SM,2020,2023,18,772000000,22,1,6000000,21335,7,5420000,girl
EXO,SM,2012,2023,114,3500000000,74,0,13600000,29388,14,9630000,boy
f(x),SM,2009,2016,33,470300000,10,0,548700,10908,9,478000,girl
Girls' Generation,SM,2007,2022,94,2800000000,45,0,3600000,20590,19,2930000,girl
NCT 127,SM,2016,2023,37,1200000000,16,0,12900000,2395,19,5570000,boy
NCT DREAM,SM,2016,2023,37,992600000,19,0,15700000,5939,15,6730000,boy
Red Velvet,SM,2014,2023,85,2700000000,19,1,4900000,28900,24,5420000,girl
RIIZE,SM,2023,2024,2,78300000,4,0,1000000,3081,3,1010000,boy
SHINee,SM,2008,2023,69,1100000000,34,0,2900000,12325,31,2550000,boy
Super Junior,SM,2005,2022,53,1400000000,49,0,6300000,4251,37,2340000,boy
TVXQ!,SM,2003,2023,23,514600000,30,0,3300000,2865,29,619000,boy
WayV,SM,2019,2023,0,313700000,2,0,1300000,0,9,3690000,boy
2NE1,YG,2009,2020,43,1400000000,24,2,681400,20891,13,5700000,girl
Akmu,YG,2014,2023,24,543600000,12,2,95100,45559,9,NA,both
BIGBANG,YG,2006,2022,84,3900000000,46,7,3400000,35684,21,15100000,boy
Blackpink,YG,2016,2023,60,13700000000,26,3,6000000,34936,10,93200000,girl
Treasure,YG,2020,2023,2,796400000,9,0,4400000,124,7,NA,boy
Winner,YG,2014,2022,24,671800000,5,0,1000000,17025,15,4060000,boy
2:00 PM,JYP,2008,2021,41,433600000,11,0,896500,7572,19,1450000,boy
GOT7,JYP,2014,2022,33,2400000000,17,0,4300000,2161,25,2230000,boy
ITZY,JYP,2019,2023,48,2200000000,6,0,5400000,10754,14,9050000,girl
Miss A,JYP,2010,2015,16,449800000,12,2,111700,9816,7,NA,girl
NMIXX,JYP,2022,2023,5,356300000,2,0,4500000,1872,6,2510000,girl
Stray Kids,JYP,2018,2023,28,4300000000,17,0,21100000,482,21,15800000,boy
Twice,JYP,2015,2024,121,9700000000,43,4,12200000,36652,36,16900000,girl
Wonder Girls,JYP,2007,2016,32,504700000,17,1,309300,9968,10,975000,girl
